Employee_ID,Age,Department,Job_Level,Years_at_Company,Monthly_Hours_Worked,Remote_Work,Meetings_per_Week,Tasks_Completed_Per_Day,Overtime_Hours_Per_Week,Work_Life_Balance,Job_Satisfaction,Productivity_Score,Annual_Salary,Absences_Per_Year
78,27,Marketing,Entry,7,197,No,13,11,1,Poor,2,88.08,88692,18
79,58,Finance,Senior,20,176,No,0,4,6,Good,1,76.82,182836,2
80,29,Marketing,Entry,28,134,No,0,12,6,Good,3,78.74,156130,14
81,22,Marketing,Manager,26,200,Yes,4,16,0,Good,6,98.1,147413,15
82,34,Operations,Mid,3,203,Yes,7,10,2,Average,4,83.34,138915,16
83,47,IT,Mid,1,135,Yes,4,14,8,Poor,6,79.59,102688,15
84,37,Finance,Mid,23,140,Yes,6,6,11,Good,2,77.79,148202,3
85,49,HR,Entry,10,194,Hybrid,1,8,0,Poor,5,76.88,52810,4
86,44,IT,Entry,15,187,Yes,12,16,6,Good,2,98.18,35796,17
87,28,Sales,Manager,13,144,Hybrid,10,9,8,Average,3,67.21,156900,0
88,45,HR,Entry,25,185,Yes,6,4,7,Poor,2,51.62,193100,0
89,29,Sales,Entry,17,185,Hybrid,14,9,0,Poor,7,55.27,127154,14
90,22,IT,Mid,29,210,No,4,6,4,Average,6,89.74,60449,9
91,25,Marketing,Manager,18,214,Hybrid,11,13,2,Good,3,96.09,189061,6
92,40,Marketing,Mid,10,166,Yes,14,14,5,Good,6,53.53,134304,7
93,43,Finance,Mid,20,191,Hybrid,13,19,1,Average,3,54.73,184692,8
94,57,HR,Manager,9,191,No,9,13,7,Poor,7,54.84,183438,9
95,22,Sales,Senior,26,124,Yes,2,11,12,Excellent,4,58.92,127235,8
96,40,Sales,Manager,24,141,No,0,10,4,Good,7,56.07,154825,4
97,50,Finance,Entry,1,188,Yes,11,13,6,Good,4,68.58,53988,11
98,40,Operations,Senior,12,159,Yes,12,11,7,Average,9,70.13,116632,17
99,27,Operations,Senior,11,167,No,11,19,2,Good,5,76.16,170952,11
100,46,HR,Mid,11,189,Hybrid,8,19,9,Average,8,89.37,198088,1
101,44,Marketing,Mid,15,157,Hybrid,9,19,0,Good,8,79.13,54400,8
102,22,Operations,Entry,20,190,No,6,19,9,Average,7,54.39,115267,5
103,36,IT,Mid,14,137,Hybrid,7,14,7,Average,4,90.32,97695,12
104,46,Finance,Entry,9,144,Hybrid,9,4,2,Average,9,87.36,143200,8
105,25,IT,Mid,2,186,No,9,5,7,Excellent,5,88.34,196414,14
106,22,IT,Mid,2,208,No,3,13,8,Excellent,1,78.63,86566,8
107,42,Finance,Mid,22,140,No,2,6,6,Average,4,70.99,124281,11
108,31,Sales,Mid,16,214,Hybrid,4,5,4,Excellent,4,58.51,83514,17
109,23,HR,Mid,6,168,No,0,10,11,Good,5,97.41,191286,7
110,38,Sales,Entry,13,161,Yes,5,6,4,Good,5,93.45,189787,12
111,34,Marketing,Entry,6,199,No,11,6,9,Good,4,62.46,138880,14
112,48,HR,Mid,26,171,No,0,13,1,Excellent,8,66.11,126890,7
113,49,Finance,Manager,1,183,Hybrid,11,7,12,Poor,6,53.09,102253,3
114,31,Finance,Entry,25,205,Yes,7,12,7,Good,3,87.27,69779,14
115,31,Finance,Senior,28,212,No,4,6,3,Excellent,9,82.93,152014,10
116,30,IT,Mid,13,195,Yes,11,12,1,Poor,4,89.39,195261,6
117,55,Finance,Entry,2,165,Hybrid,9,17,4,Excellent,1,55.2,181933,18
118,25,Marketing,Entry,23,162,No,11,9,1,Excellent,4,55.44,194997,18
119,25,Marketing,Senior,1,182,No,6,4,7,Average,7,92.54,58464,0
120,25,Finance,Entry,1,120,Yes,3,14,7,Good,4,84.38,67731,4
121,32,HR,Entry,11,145,No,4,18,12,Poor,9,65.03,183130,17
122,22,Marketing,Mid,16,193,Yes,1,17,13,Poor,6,72.29,108248,18
123,42,HR,Senior,9,144,Hybrid,6,14,13,Poor,3,70.94,153933,14
124,46,HR,Mid,7,208,No,12,12,9,Average,1,74.18,92475,2
125,30,HR,Mid,14,123,Yes,8,8,11,Poor,8,68.81,91026,4
126,46,Finance,Senior,5,201,No,6,16,9,Good,3,97.83,149979,19
127,39,Operations,Entry,26,179,Yes,3,7,10,Average,9,67.46,107634,14
128,28,IT,Senior,19,162,No,12,14,11,Poor,6,69.46,177931,11
129,47,Finance,Mid,24,191,No,7,17,9,Average,9,92.39,41713,3
130,39,Marketing,Mid,17,126,Hybrid,10,11,7,Average,4,50.49,46004,10
131,22,Marketing,Mid,8,136,Hybrid,10,15,14,Good,4,89.07,43290,2
132,30,Marketing,Entry,29,125,Hybrid,14,4,9,Average,1,61.69,43188,0
133,31,Marketing,Entry,4,161,Yes,13,19,6,Good,4,79.33,168518,10
134,32,Operations,Mid,2,163,Yes,5,8,10,Good,4,63.04,93225,12
135,53,IT,Senior,23,140,No,5,11,3,Average,1,93.6,127896,7
136,42,Operations,Senior,20,121,Hybrid,2,8,6,Good,4,96.23,119155,18
137,57,HR,Senior,13,132,No,12,13,13,Average,2,59.14,126539,4
138,53,Finance,Senior,20,151,Yes,11,15,10,Good,2,94.16,35406,2
139,40,Marketing,Entry,6,196,Yes,10,19,13,Average,3,56.7,189721,9
140,29,HR,Entry,18,148,Yes,1,8,12,Good,1,71.97,58033,8
141,56,Finance,Manager,5,124,Yes,2,18,10,Good,9,50.91,50637,16
142,43,IT,Senior,25,209,Hybrid,10,14,12,Good,5,69.63,142143,8
143,25,Sales,Entry,12,215,No,11,19,6,Good,1,54.09,144866,11
144,50,IT,Mid,19,201,Yes,6,4,11,Average,2,82.89,165450,10
145,52,Sales,Mid,20,136,No,2,17,0,Good,4,83.66,62660,15
146,29,Marketing,Entry,29,203,Hybrid,6,5,6,Average,1,55.88,144173,3
147,33,HR,Senior,19,134,Yes,2,4,12,Good,4,90.06,95509,19
148,26,Operations,Manager,15,179,Hybrid,14,14,9,Average,3,61.0,40926,1
149,51,HR,Manager,7,198,Yes,3,15,1,Average,1,64.99,149262,7
150,56,Finance,Mid,29,187,No,10,3,13,Good,6,55.6,112164,15
151,58,Sales,Senior,29,192,Yes,4,19,10,Average,9,91.77,45402,18
152,25,Sales,Mid,19,163,Yes,1,10,6,Good,9,74.9,172911,10
153,42,Finance,Manager,23,152,Yes,4,11,10,Average,6,92.73,154650,13
154,37,HR,Manager,21,129,No,10,4,9,Average,6,71.26,188112,1
155,39,Operations,Senior,3,166,Hybrid,9,14,8,Good,9,69.59,101415,14
156,52,HR,Mid,1,120,Yes,5,7,14,Poor,8,72.96,99209,16
157,59,Finance,Manager,21,159,Yes,8,16,3,Good,4,74.3,59748,9
158,53,Operations,Entry,25,192,Yes,9,18,7,Good,8,69.19,156908,0
159,54,Operations,Entry,10,141,Hybrid,3,8,5,Excellent,1,73.1,146987,3
160,40,Sales,Mid,4,145,Yes,14,13,2,Good,2,74.02,189609,17
161,41,Operations,Senior,16,154,No,9,5,6,Good,7,99.54,104162,1
162,31,Marketing,Entry,25,152,Yes,4,7,11,Average,9,81.53,177537,2
163,47,Finance,Senior,12,129,Hybrid,3,19,5,Average,7,92.79,62048,12
164,39,HR,Manager,27,180,Hybrid,4,12,12,Excellent,7,74.42,160327,12
165,36,Marketing,Mid,10,157,Hybrid,12,18,8,Good,2,79.3,123982,14
166,57,Marketing,Entry,3,138,No,0,15,2,Good,6,51.69,166964,5
167,39,Sales,Mid,8,187,Yes,10,16,1,Good,8,64.3,199958,0
168,52,Operations,Entry,5,202,Yes,7,11,5,Excellent,1,90.08,187883,9
169,36,Finance,Mid,22,126,No,8,7,8,Good,7,66.88,182968,11
170,59,Marketing,Mid,16,131,Yes,2,5,11,Good,3,86.24,136895,15
171,50,IT,Mid,4,210,No,13,17,14,Excellent,6,51.45,179366,1
172,36,Marketing,Mid,16,151,Yes,12,11,4,Average,5,77.89,140695,2
173,22,Marketing,Mid,22,146,Yes,9,11,5,Good,3,99.43,171656,3
174,58,Marketing,Mid,3,176,No,2,10,1,Poor,8,85.7,39389,4
175,44,Finance,Entry,23,204,Hybrid,8,5,9,Poor,8,84.97,178587,14
176,32,Sales,Mid,4,173,Yes,11,8,4,Poor,3,74.13,114705,3
177,59,Sales,Mid,16,188,No,8,15,3,Poor,1,64.12,188688,3
178,37,IT,Mid,5,202,Hybrid,12,11,10,Average,7,70.69,85028,15
179,51,Operations,Entry,22,126,Yes,6,18,8,Excellent,9,75.74,101855,1
180,50,IT,Entry,21,197,Yes,4,15,3,Average,1,85.72,48794,8
181,24,Marketing,Senior,28,192,Yes,0,11,7,Poor,3,58.17,136140,11
182,38,Marketing,Mid,18,156,Yes,8,10,10,Average,4,68.47,161778,15
183,47,Marketing,Manager,28,169,No,11,18,7,Good,6,92.84,50840,4
184,30,IT,Manager,28,128,No,5,13,12,Poor,8,50.47,183182,13
185,38,Sales,Mid,27,124,No,2,13,11,Average,6,91.06,46228,7
186,58,IT,Mid,20,173,No,4,9,8,Average,3,52.7,195881,14
187,52,Operations,Entry,8,167,Yes,10,9,1,Average,3,88.8,84122,13
188,52,Sales,Mid,8,128,No,14,10,8,Good,2,99.5,50719,19
189,32,IT,Senior,7,171,Hybrid,12,10,11,Average,9,87.32,84725,16
190,59,Sales,Manager,10,149,Yes,12,7,5,Average,9,76.71,151573,16
191,43,IT,Mid,2,197,No,8,17,6,Average,2,56.58,98621,6
192,24,Sales,Mid,20,179,Hybrid,13,17,3,Excellent,8,52.88,36056,18
193,49,Finance,Manager,25,122,No,14,10,2,Average,7,70.17,126001,19
194,53,Finance,Entry,6,171,Hybrid,14,11,5,Poor,6,70.59,195441,10
195,25,HR,Mid,15,143,Yes,0,7,0,Poor,5,61.74,70739,12
196,59,Operations,Mid,14,147,No,13,16,7,Good,3,70.01,193853,14
197,32,Sales,Entry,28,158,Yes,9,3,11,Average,5,64.47,67839,10
198,22,Sales,Senior,27,174,Yes,0,16,8,Good,7,52.81,85443,11
199,37,Operations,Entry,8,194,Yes,9,15,11,Average,4,72.41,190939,14
200,55,Operations,Entry,9,200,Hybrid,13,17,2,Poor,5,74.2,159635,9
201,53,Sales,Mid,5,201,No,12,13,1,Good,5,85.04,77107,5
202,54,HR,Entry,5,200,Yes,3,14,3,Average,2,77.53,130392,8
203,32,IT,Mid,9,144,No,5,8,6,Excellent,2,95.17,38266,13
204,57,Operations,Entry,22,133,Yes,2,19,2,Poor,1,67.56,41239,4
205,34,Finance,Mid,7,204,No,2,9,3,Average,1,61.1,56339,10
206,41,HR,Mid,8,130,No,14,4,7,Good,2,53.4,179302,11
207,46,Finance,Manager,28,166,Yes,3,15,13,Poor,7,69.34,143534,17
208,27,Marketing,Senior,24,146,Yes,11,14,0,Good,5,52.58,128207,2
209,58,HR,Manager,15,123,Yes,13,19,1,Average,5,74.13,121589,0
210,47,HR,Senior,29,170,No,0,3,9,Poor,1,94.71,108162,0
211,25,Finance,Senior,3,153,Hybrid,4,10,12,Average,8,76.85,161706,0
212,47,Sales,Senior,21,159,Yes,7,15,4,Average,1,82.79,197387,4
213,39,Marketing,Entry,27,190,Hybrid,14,3,6,Average,5,93.99,72934,5
214,34,Finance,Mid,17,137,No,13,7,6,Average,8,56.72,90369,12
215,29,HR,Senior,19,138,No,5,16,4,Good,2,77.56,138599,2
216,54,Sales,Entry,18,201,Yes,2,13,0,Average,6,68.02,148366,10
217,37,Marketing,Entry,10,134,Hybrid,3,5,14,Good,4,79.29,103051,14
218,52,Sales,Mid,2,194,Hybrid,4,17,0,Poor,6,56.48,75242,13
219,44,Finance,Manager,2,131,Yes,13,9,5,Excellent,2,67.97,41458,0
220,37,Sales,Senior,17,154,Hybrid,10,18,7,Average,7,85.26,84841,17
221,31,HR,Senior,15,155,No,4,10,7,Good,1,78.61,41583,11
222,57,HR,Mid,27,131,Yes,1,13,0,Poor,2,87.16,128313,5
223,52,IT,Mid,16,135,Hybrid,2,19,4,Excellent,6,72.37,95989,8
224,53,Marketing,Senior,6,211,No,9,17,11,Excellent,5,58.46,78617,5
225,42,Finance,Senior,20,163,No,13,9,3,Average,6,61.5,120380,7
226,37,Sales,Mid,26,163,Hybrid,7,17,1,Average,1,88.44,87040,6
227,50,Operations,Senior,2,155,Hybrid,12,12,8,Good,1,67.58,72606,8
228,37,HR,Entry,15,178,Hybrid,0,7,8,Good,6,70.38,104817,16
229,36,IT,Manager,21,149,No,3,19,11,Good,3,91.61,153431,0
230,29,Finance,Senior,18,135,No,1,8,2,Poor,7,60.94,71916,7
231,36,HR,Entry,8,199,Hybrid,8,5,12,Average,4,90.71,164780,6
232,42,Finance,Mid,4,203,No,10,13,2,Good,7,55.93,139045,5
233,42,HR,Manager,28,128,No,11,10,9,Average,5,57.29,66706,2
234,28,Finance,Mid,5,165,No,12,3,6,Good,7,67.78,182707,4
235,40,HR,Entry,8,124,Hybrid,14,13,11,Average,3,91.0,99240,15
236,43,Operations,Manager,22,214,No,6,14,11,Average,8,86.22,53127,0
237,59,Operations,Mid,17,137,Yes,5,12,9,Good,7,88.21,145343,17
238,34,Operations,Mid,6,163,Hybrid,3,3,1,Average,5,59.41,113176,14
239,47,Operations,Mid,15,205,No,0,15,0,Poor,3,98.85,179087,4
240,43,Sales,Senior,1,158,No,8,18,14,Good,5,54.77,90280,6
241,28,Marketing,Senior,11,185,No,2,8,2,Excellent,1,55.36,199696,10
242,56,HR,Mid,6,177,Hybrid,12,5,5,Average,8,67.97,188306,12
243,24,Finance,Manager,23,186,Yes,2,12,1,Average,6,76.49,185711,10
244,56,HR,Entry,6,166,No,5,15,13,Excellent,4,87.63,103350,8
245,37,IT,Manager,20,211,No,12,18,0,Poor,4,83.05,45001,18
246,37,Operations,Entry,20,194,No,13,12,1,Good,1,94.37,107595,10
247,23,Sales,Senior,18,193,Hybrid,5,18,11,Poor,1,79.95,46107,9
248,59,Operations,Entry,18,203,Yes,10,8,13,Excellent,8,53.64,198675,4
249,38,Operations,Senior,7,214,No,3,16,2,Good,6,73.47,157789,8
250,59,IT,Senior,26,172,No,4,17,8,Poor,4,88.58,146868,2
251,45,Finance,Mid,24,170,Yes,4,15,3,Good,3,74.15,118204,13
252,43,HR,Entry,16,164,No,12,10,10,Good,1,56.37,120574,13
253,44,HR,Mid,22,167,No,10,7,10,Poor,9,84.99,125790,14
254,40,IT,Entry,22,141,Yes,5,6,4,Good,3,86.46,175199,11
255,43,Marketing,Mid,23,201,No,2,5,8,Excellent,7,88.07,56284,17
256,38,Sales,Mid,19,131,Yes,13,17,7,Excellent,4,67.22,117691,12
257,23,HR,Entry,12,198,Yes,10,5,9,Average,8,84.23,46587,19
258,35,HR,Mid,26,174,Hybrid,8,13,14,Good,8,86.85,44643,17
259,49,Finance,Entry,18,217,Hybrid,6,3,8,Average,5,69.35,122641,7
260,34,IT,Entry,4,164,No,3,10,5,Poor,3,70.83,136809,5
261,59,Finance,Mid,2,211,Yes,2,6,14,Average,5,74.63,131328,10
262,38,Sales,Mid,23,182,Hybrid,11,5,2,Average,2,80.53,128772,17
263,30,HR,Entry,29,183,Hybrid,9,5,14,Good,6,65.13,171371,3
264,35,IT,Mid,29,163,No,6,3,1,Average,7,58.15,193570,4
265,23,Operations,Senior,9,134,No,10,8,5,Good,6,62.33,195922,19
266,42,IT,Mid,7,218,Hybrid,4,18,11,Excellent,9,76.74,123081,14
267,56,IT,Senior,12,136,Hybrid,12,19,2,Average,5,87.35,128577,11
268,51,Sales,Entry,5,194,No,1,10,3,Good,8,93.69,49501,8
269,38,Marketing,Mid,12,180,No,5,8,14,Good,9,94.85,170587,1
270,46,Marketing,Senior,16,145,Hybrid,2,9,7,Average,6,78.7,94173,8
271,56,Marketing,Mid,19,148,Hybrid,12,6,12,Poor,5,93.22,68801,5
272,27,Finance,Senior,12,208,Hybrid,6,15,0,Good,4,63.07,167742,4
273,24,Finance,Senior,1,123,No,12,14,9,Average,3,72.08,49414,17
274,57,Sales,Entry,1,146,No,13,17,2,Good,7,61.01,187457,12
275,22,IT,Entry,19,161,Yes,9,6,4,Average,2,56.84,175748,1
276,55,Marketing,Manager,20,205,Hybrid,4,12,10,Average,3,83.41,59558,15
277,22,HR,Mid,12,143,Yes,6,9,8,Average,3,61.76,131839,0
278,47,Marketing,Senior,5,138,No,13,16,6,Good,2,78.26,181482,10
279,39,Sales,Mid,29,160,No,3,14,2,Poor,2,53.61,35906,12
280,57,Marketing,Entry,9,210,Hybrid,13,12,7,Average,5,58.26,46905,8
281,27,HR,Mid,12,202,Hybrid,11,9,8,Excellent,8,65.32,159589,12
282,32,HR,Mid,2,132,Yes,0,10,1,Poor,2,69.76,137091,4
283,51,HR,Senior,13,214,Yes,14,8,6,Excellent,6,62.74,68597,12
284,35,Sales,Manager,4,185,Hybrid,0,19,14,Average,6,86.15,135105,15
285,31,Marketing,Entry,19,210,Yes,13,9,4,Good,2,53.1,108190,6
286,52,Sales,Entry,8,183,Hybrid,6,3,5,Good,1,77.79,147042,18
287,57,Operations,Mid,13,191,Yes,10,9,4,Poor,5,51.37,63337,16
288,36,HR,Entry,1,131,Yes,8,15,9,Good,3,95.26,83036,14
289,51,Marketing,Mid,17,148,Yes,12,8,1,Good,3,81.49,184036,4
290,35,Finance,Entry,25,148,No,5,17,6,Good,5,84.2,178952,13
291,44,Sales,Entry,17,205,Hybrid,12,8,4,Good,9,85.06,191323,15
292,38,Finance,Entry,4,149,No,2,4,0,Average,6,76.85,122209,8
293,48,Operations,Entry,8,192,Hybrid,8,19,3,Excellent,3,55.59,81943,16
294,34,Finance,Mid,20,188,Hybrid,8,15,5,Excellent,8,70.98,59663,12
295,35,IT,Manager,5,219,Yes,12,17,13,Good,8,87.45,108556,17
296,47,HR,Entry,16,132,No,11,6,7,Poor,2,99.11,49724,5
297,32,Operations,Senior,2,121,No,0,15,4,Average,2,65.41,182807,9
298,59,Finance,Senior,25,152,No,9,15,2,Good,8,81.89,72941,15
299,22,Sales,Mid,26,123,Yes,4,15,1,Average,3,99.14,38086,4
300,45,HR,Manager,9,175,Yes,2,8,10,Average,2,78.72,113866,14
301,41,Operations,Mid,13,193,Hybrid,8,3,13,Poor,5,90.24,88961,9
302,29,HR,Entry,19,176,Hybrid,6,17,1,Good,4,79.55,119552,10
303,29,Operations,Entry,24,216,No,3,8,2,Average,3,71.68,172111,4
304,51,Sales,Mid,9,121,Yes,4,9,9,Average,3,83.81,148091,11
305,39,Marketing,Manager,3,182,Hybrid,8,12,2,Average,7,93.15,60149,9
306,34,Sales,Entry,1,131,Yes,11,13,2,Average,8,89.13,78232,13
307,57,Marketing,Mid,18,135,Hybrid,13,10,2,Poor,3,93.84,48615,9
308,40,HR,Mid,15,179,Hybrid,3,3,12,Poor,5,97.57,38845,3
309,34,Sales,Mid,24,218,Yes,6,18,7,Good,2,87.27,70835,7
310,47,Finance,Senior,1,175,No,4,15,8,Poor,9,91.92,120554,1
311,30,Sales,Mid,15,192,Yes,0,19,5,Good,9,63.16,162907,6
312,55,Finance,Entry,23,122,Hybrid,14,18,3,Average,4,57.88,147293,6
313,52,Finance,Mid,18,211,Hybrid,10,18,10,Good,5,69.25,148623,2
314,28,HR,Senior,19,171,Hybrid,0,10,2,Average,2,65.52,189152,17
315,30,Marketing,Mid,20,135,Yes,5,15,10,Good,5,70.7,82478,2
316,47,Marketing,Mid,19,202,Hybrid,1,15,0,Average,2,57.07,189230,8
317,54,Finance,Senior,20,194,Hybrid,10,19,2,Average,7,71.03,68284,13
318,54,Marketing,Mid,13,165,No,4,10,4,Average,3,91.01,60246,3
319,25,Sales,Senior,5,150,No,1,12,12,Average,3,52.55,152587,18
320,49,Finance,Entry,29,120,Hybrid,9,10,10,Average,3,62.72,148984,11
321,25,Finance,Mid,22,174,No,0,8,0,Good,7,69.77,106038,16
322,55,IT,Mid,5,149,No,7,10,0,Average,5,79.03,172505,8
323,27,Sales,Mid,25,204,Hybrid,3,18,5,Good,4,71.76,40718,4
324,54,Marketing,Manager,11,198,No,9,14,12,Average,5,51.69,197393,4
325,26,Marketing,Mid,10,135,Hybrid,13,4,1,Average,7,81.9,174450,0
326,40,IT,Senior,25,187,Hybrid,12,11,10,Good,3,85.63,163806,1
327,39,Sales,Senior,6,207,Hybrid,4,6,1,Average,3,55.74,193294,19
328,24,HR,Entry,6,159,No,5,5,5,Poor,7,50.7,100605,15
329,55,HR,Entry,25,206,No,5,13,8,Average,1,77.7,45513,3
330,23,Sales,Manager,23,136,Yes,14,11,8,Poor,2,93.34,45745,17
331,22,Marketing,Mid,13,218,Hybrid,3,19,9,Average,8,87.43,157229,10
332,56,Operations,Mid,6,145,No,1,3,5,Good,6,75.09,57910,2
333,25,HR,Mid,25,154,No,11,19,9,Average,9,67.51,188017,6
334,56,Operations,Mid,7,198,Hybrid,1,7,3,Excellent,5,51.27,170824,8
335,29,Operations,Mid,8,134,No,0,8,8,Poor,7,89.17,76782,16
336,50,HR,Entry,10,146,Yes,4,18,10,Poor,8,61.35,185960,10
337,57,Marketing,Mid,11,191,Yes,5,12,12,Average,8,99.4,129243,14
338,35,Sales,Mid,29,134,Hybrid,11,19,1,Average,8,53.6,150116,13
339,51,IT,Senior,5,191,Yes,9,9,8,Average,1,94.43,46067,6
340,28,Sales,Senior,8,123,Hybrid,1,6,3,Poor,1,62.35,160419,19
341,34,IT,Mid,26,184,No,13,17,10,Average,9,95.07,75763,7
342,43,Operations,Entry,1,144,Yes,2,14,6,Good,5,71.8,64033,13
